Part number,Description,No Datasheet Available
74362,four-phase clock generator/driver,No Datasheet Available
74363,octal three-state D-latches,No Datasheet Available
74364,"8-bit D-type edge-triggered register, three-state outputs",No Datasheet Available
74365,"hex buffer, non-inverting three-state outputs",Datasheets_7400/74HC_HCT365.pdf
74366,"hex buffer, inverting three-state outputs",Datasheets_7400/74HC_HCT366.pdf
74367,"hex buffer, non-inverting three-state outputs",Datasheets_7400/74HC_HCT367.pdf
74368,"hex buffer, inverting three-state outputs",Datasheets_7400/74HC_HCT368.pdf
74370,"2048-bit (512x4) ROM, three-state outputs",No Datasheet Available
74371,"2048-bit (256x8) ROM, three-state outputs",No Datasheet Available
74373,"octal transparent latch, three-state outputs",Datasheets_7400/74AUP1G373.pdf
74374,"octal register, three-state outputs",Datasheets_7400/74AUP1G374.pdf
74375,quad bistable latch,No Datasheet Available
74376,"quad J-Not-K flip-flop, common clock and common clear",No Datasheet Available
74377,"8-bit register, clock enable",Datasheets_7400/74HC_HCT377.pdf
74378,"6-bit register, clock enable",No Datasheet Available
74379,"4-bit register, clock enable and complementary outputs",No Datasheet Available
74380,8-bit multifunction register,No Datasheet Available
74381,"4-bit arithmetic logic unit/function generator, generate and propagate outputs",No Datasheet Available
74382,"4-bit arithmetic logic unit/function generator, ripple carry and overflow outputs",No Datasheet Available
74384,8-bit by 1-bit two's complement multipliers,No Datasheet Available
74385,quad serial adder/subtractor,No Datasheet Available
74386,quad 2-input XOR gate,Datasheets_7400/74AUP1G386.pdf
74387,"1024-bit (256x4) PROM, open collector outputs",No Datasheet Available
74388,"4-bit register, standard and three-state outputs",No Datasheet Available
74390,dual 4-bit decade counter,Datasheets_7400/74HC_HCT390.pdf
74393,dual 4-bit binary counter,Datasheets_7400/74HC_HCT393.pdf
74395,"4-bit universal shift register, three-state outputs",No Datasheet Available
74396,"octal storage registers, parallel access",No Datasheet Available
74398,"quad 2-input multiplexers, storage and complementary outputs",No Datasheet Available
74399,"quad 2-input multiplexer, storage",No Datasheet Available
74405,"1 to 8 decoder, equivalent to Intel 8205, only found as UCY74S405 so might be non-TI number",No Datasheet Available
74408,8-bit parity tree,No Datasheet Available
74412,"multi-mode buffered 8-bit latches, three-state outputs and clear",No Datasheet Available
74422,"re-triggerable mono-stable multivibrators, two inputs",No Datasheet Available
74423,dual retriggerable monostable multivibrator,Datasheets_7400/74HC423.pdf
74424,two-phase clock generator/driver,No Datasheet Available
74425,"quad bus buffers, three-state outputs and active low enables",No Datasheet Available
74426,"quad bus buffers, three-state outputs and active high enables",No Datasheet Available
74428,system controller for 8080a,No Datasheet Available
74436,"line driver/memory driver circuits - mos memory interface, damping output resistor",No Datasheet Available
74437,line driver/memory driver circuits - mos memory interface,No Datasheet Available
74438,system controller for 8080a,No Datasheet Available
74440,"quad tridirectional bus transceiver, non-inverting open collector outputs",No Datasheet Available
74441,"quad tridirectional bus transceiver, inverting open collector outputs",No Datasheet Available
74442,"quad tridirectional bus transceiver, non-inverting three-state outputs",No Datasheet Available
